model_number,brand,product_name,category,price,currency,energy_class,width,height,depth,capacity,power,noise,features,installation,color,warranty,image,connectivity
HBG6764S1,Bosch,Four encastrable pyrolyse Série 8,oven,899.00,EUR,A+,59.4,59.5,54.8,71L,3650W,,"Pyrolyse;EcoClean Direct;Eclairage LED;13 modes",built_in,stainless_steel,2 ans,https://bosch.com/hbg6764s1.jpg,HomeConnect WiFi
HBG634BS1,Bosch,Four encastrable catalyse Série 6,oven,649.00,EUR,A,59.4,59.5,54.8,71L,3600W,,"Catalyse;8 modes;Eclairage halogène",built_in,stainless_steel,2 ans,https://bosch.com/hbg634bs1.jpg,
HBF114ES0,Bosch,Four encastrable chaleur tournante Série 2,oven,449.00,EUR,A,59.4,59.5,54.8,66L,3400W,,"Chaleur tournante;3D HotAir;5 modes",built_in,stainless_steel,2 ans,https://bosch.com/hbf114es0.jpg,
BFA634GS1,Bosch,Micro-ondes grill encastrable,microwave,449.00,EUR,,59.4,38.2,31.8,21L,900W,,"Grill 1200W;5 niveaux puissance;AutoPilot",built_in,stainless_steel,2 ans,https://bosch.com/bfa634gs1.jpg,
PXX875D34E,Bosch,Plaque induction 80cm FlexInduction,induction_cooktop,899.00,EUR,,79.2,5.1,52,,,,"FlexInduction;PowerBoost;17 niveaux;Détection casseroles",built_in,black,2 ans,https://bosch.com/pxx875d34e.jpg,
PIE631FB1E,Bosch,Plaque induction 60cm CombiZone,induction_cooktop,549.00,EUR,,59.2,5.1,52,,,,"CombiZone;PowerBoost;Timer;Sécurité enfant",built_in,black,2 ans,https://bosch.com/pie631fb1e.jpg,
DWK98PR60,Bosch,Hotte murale 90cm Série 8,hood,899.00,EUR,A,89.8,62.9,47.5,,390W,42dB,"Débit 840m³/h;Eclairage LED;3 vitesses;Commandes tactiles",wall_mounted,stainless_steel,2 ans,https://bosch.com/dwk98pr60.jpg,
SMV6ZCX49E,Bosch,Lave-vaisselle tout intégrable Série 6,dishwasher,799.00,EUR,A++,59.8,81.5,55,14 couverts,2400W,44dB,"Silence Plus;VarioSpeed Plus;AquaStop;TimeLight",fully_integrated,stainless_steel,2 ans,https://bosch.com/smv6zcx49e.jpg,HomeConnect WiFi
iQ700-HB678GBS6,Siemens,Four encastrable pyrolyse iQ700,oven,949.00,EUR,A+,59.4,59.5,54.8,71L,3650W,,"Pyrolyse;activeClean;cookControl Plus;19 modes",built_in,stainless_steel,2 ans,https://siemens.com/hb678gbs6.jpg,HomeConnect WiFi
HE678GBS6,Siemens,Four encastrable iQ500 vapeur,oven,1099.00,EUR,A+,59.4,59.5,54.8,71L,3650W,,"Cuisson vapeur;Pyrolyse;varioSteam;softMove",built_in,stainless_steel,2 ans,https://siemens.com/he678gbs6.jpg,HomeConnect WiFi
EX877LYV5E,Siemens,Plaque induction 80cm flexInduction Plus,induction_cooktop,1099.00,EUR,,79.2,5.1,52,,,,"flexInduction Plus;fryingSensor Plus;powerMove;quickStart",built_in,black,2 ans,https://siemens.com/ex877lyv5e.jpg,
ED877FSB5E,Siemens,Plaque induction 70cm,induction_cooktop,749.00,EUR,,70.2,5.1,52,,,,"flexInduction;powerBoost;timer;reStart",built_in,black,2 ans,https://siemens.com/ed877fsb5e.jpg,
LC87KHM60,Siemens,Hotte inclinée 80cm iQ700,hood,799.00,EUR,A+,79.8,88.5,29.9,,368W,49dB,"Débit 730m³/h;LED dimLightControl;Commandes tactiles;Filtre CleanAir",wall_mounted,black_glass,2 ans,https://siemens.com/lc87khm60.jpg,
SN87YX01CE,Siemens,Lave-vaisselle intégrable iQ700,dishwasher,1049.00,EUR,A+++,59.8,81.5,55,14 couverts,2400W,41dB,"varioSpeed Plus;brilliantShine;timeLight;Home Connect",fully_integrated,stainless_steel,2 ans,https://siemens.com/sn87yx01ce.jpg,HomeConnect WiFi
H7164BP,Miele,Four encastrable pyrolyse PerfectClean,oven,1599.00,EUR,A+,59.5,59.5,56.9,76L,3650W,,"Pyrolyse Plus;PerfectClean;M Touch;20 modes",built_in,clean_steel,5 ans,https://miele.com/h7164bp.jpg,Miele@home WiFi
H2265BP,Miele,Four encastrable catalyse,oven,999.00,EUR,A,59.5,59.5,56.9,76L,3500W,,"Catalyse;PerfectClean;7 modes;DirectControl",built_in,clean_steel,5 ans,https://miele.com/h2265bp.jpg,
KM7564FR,Miele,Plaque induction 80cm SmartSelect,induction_cooktop,1899.00,EUR,,79.2,5.2,52,,,,"SmartSelect;TwinBooster;PowerFlex;Con@ctivity 2.0",built_in,black,5 ans,https://miele.com/km7564fr.jpg,
KM6117,Miele,Plaque induction 60cm,induction_cooktop,1199.00,EUR,,57.6,5.2,50,,,,"PowerFlex;Booster;QuickStart;Stop&Go",built_in,black,5 ans,https://miele.com/km6117.jpg,
DA6698DPURW,Miele,Hotte murale 90cm PureLine,hood,1499.00,EUR,A,89.8,74,47,,400W,43dB,"Débit 650m³/h;LED ClearView;Con@ctivity;CleanCover",wall_mounted,white,5 ans,https://miele.com/da6698dpurw.jpg,Con@ctivity
G7310SCIAUTODOS,Miele,Lave-vaisselle intégrable AutoDos,dishwasher,1599.00,EUR,A+++,59.8,80.5,57,14 couverts,2100W,42dB,"AutoDos PowerDisk;AutoOpen;QuickIntenseWash;Knock2open",fully_integrated,stainless_steel,5 ans,https://miele.com/g7310sci.jpg,Miele@home WiFi
G5210SCIACTIVE,Miele,Lave-vaisselle encastrable Active,dishwasher,899.00,EUR,A++,59.8,80.5,57,14 couverts,2100W,44dB,"QuickPowerWash;3D MultiFlex;Perfect GlassCare;TimeControl",fully_integrated,stainless_steel,5 ans,https://miele.com/g5210sci.jpg,
W1WWD320WPS,Miele,Lave-linge encastrable 8kg,washing_machine,1199.00,EUR,A+++,59.6,85,64,8kg,1400W,47dB,"TwinDos;CapDosing;SteamCare;QuickPowerWash",built_in,white,5 ans,https://miele.com/w1wwd320.jpg,Miele@home WiFi
NV7B45305AS,Samsung,Four encastrable Dual Cook Flex,oven,699.00,EUR,A+,59.5,59.5,56.6,75L,3650W,,"Dual Cook Flex;Pyrolyse;Vapeur;SmartThings",built_in,stainless_steel,2 ans,https://samsung.com/nv7b45305as.jpg,SmartThings WiFi
NQ5B4553FBS,Samsung,Four combiné micro-ondes,combination_oven,1099.00,EUR,A+,59.5,45.5,56.6,50L,3100W,,"Dual Cook;Micro-ondes;Slim Fry;Steam Cook",built_in,black_stainless,2 ans,https://samsung.com/nq5b4553fbs.jpg,SmartThings WiFi
NZ64B5046GK,Samsung,Plaque induction 60cm Virtual Flame,induction_cooktop,549.00,EUR,,59.2,5.6,52,,,,"Virtual Flame;Boost;Flex Zone;WiFi SmartThings",built_in,black,2 ans,https://samsung.com/nz64b5046gk.jpg,SmartThings WiFi
NK36M7070VS,Samsung,Hotte inclinée 90cm,hood,649.00,EUR,A,89.8,96.5,38,,380W,45dB,"Débit 756m³/h;LED;Wi-Fi;Commandes tactiles",wall_mounted,black_glass,2 ans,https://samsung.com/nk36m7070vs.jpg,SmartThings WiFi
DW60A8060FS,Samsung,Lave-vaisselle encastrable AutoRelease,dishwasher,649.00,EUR,A++,59.8,82,55,14 couverts,2400W,42dB,"AutoRelease;Zone Booster;AquaStop;FlexLoad",fully_integrated,stainless_steel,2 ans,https://samsung.com/dw60a8060fs.jpg,
MVEL2125MS,LG,Four micro-ondes encastrable NeoChef,microwave,449.00,EUR,,59.5,38.9,34,25L,1000W,,"NeoChef Smart Inverter;EasyClean;I-Wave;Sensor Cook",built_in,stainless_steel,2 ans,https://lg.com/mvel2125ms.jpg,
LCE3610SB,LG,Plaque induction 60cm SmoothTouch,induction_cooktop,599.00,EUR,,59,5.9,52,,,,"SmoothTouch;Boost;Bridge Zone;Slider Touch",built_in,black,2 ans,https://lg.com/lce3610sb.jpg,
DFB325FPS,LG,Lave-vaisselle QuadWash 60cm,dishwasher,699.00,EUR,A+++,59.8,82,55,14 couverts,2100W,44dB,"QuadWash;TrueSteam;Inverter Direct Drive;SmartThinQ",fully_integrated,stainless_steel,2 ans,https://lg.com/dfb325fps.jpg,ThinQ WiFi
W6 W945WB,AEG,Lave-linge SoftWater 9kg,washing_machine,1099.00,EUR,A+++,59.7,85,63.6,9kg,1400W,49dB,"SoftWater;ÖkoMix;ProSteam;AutoDose",built_in,white,2 ans,https://aeg.com/w6w945wb.jpg,
BPE842720M,AEG,Four encastrable SteamBake pyrolyse,oven,799.00,EUR,A+,59.4,59.4,56.7,71L,3650W,,"Pyrolyse;SteamBake;Food Sensor;14 fonctions",built_in,stainless_steel,2 ans,https://aeg.com/bpe842720m.jpg,
IKE84445FB,AEG,Plaque induction 80cm MaxiSense,induction_cooktop,949.00,EUR,,78,5.2,52,,,,"MaxiSense;Bridge;PowerSlide;Hob²Hood",built_in,black,2 ans,https://aeg.com/ike84445fb.jpg,Hob²Hood
DBE5661HG,AEG,Hotte décorative 60cm,hood,549.00,EUR,A,59.8,108,48,,270W,53dB,"Débit 700m³/h;Breeze;LED;Hob²Hood",wall_mounted,stainless_steel,2 ans,https://aeg.com/dbe5661hg.jpg,Hob²Hood
FSE83807P,AEG,Lave-vaisselle AirDry intégrable,dishwasher,799.00,EUR,A+++,59.6,81.8,55.5,15 couverts,2100W,44dB,"AirDry;QuickSelect;Beam-on-Floor;ProClean",fully_integrated,stainless_steel,2 ans,https://aeg.com/fse83807p.jpg,
W2086C.W/HA,Whirlpool,Four encastrable 6ème Sens,oven,549.00,EUR,A+,59.5,59.5,54,73L,3650W,,"Pyrolyse 6ème Sens;Ready2Cook;Cook3;12 modes",built_in,white,2 ans,https://whirlpool.com/w2086c.jpg,
W7MD440,Whirlpool,Four encastrable multifonction Supreme Clean,oven,699.00,EUR,A+,59.5,59.5,54,73L,3650W,,"Pyrolyse Supreme Clean;SoftClose;Ready2Cook",built_in,stainless_steel,2 ans,https://whirlpool.com/w7md440.jpg,
ACM808BA,Whirlpool,Plaque induction 80cm FlexiFull,induction_cooktop,649.00,EUR,,77,5.2,51,,,,"FlexiFull;6ème Sens;Chef Control;Melting",built_in,black,2 ans,https://whirlpool.com/acm808ba.jpg,
WHBS92FLTSK,Whirlpool,Hotte décorative T 90cm,hood,499.00,EUR,A+,89.8,75,44.5,,420W,54dB,"Débit 750m³/h;6ème Sens;LED Perimeter;SaturationLight",wall_mounted,stainless_steel,2 ans,https://whirlpool.com/whbs92fltsk.jpg,
WIC3C26,Whirlpool,Lave-vaisselle 6ème Sens PowerClean,dishwasher,549.00,EUR,A++,59.5,82,57,14 couverts,2100W,46dB,"6ème Sens;PowerClean Pro;NaturalDry;MultiFlex",fully_integrated,stainless_steel,2 ans,https://whirlpool.com/wic3c26.jpg,
EOD6P77X,Electrolux,Four encastrable SteamBoost pyrolyse,oven,749.00,EUR,A+,59.4,59.4,56.7,72L,3600W,,"Pyrolyse;SteamBoost;UltraFan Plus;SurroundCook",built_in,stainless_steel,2 ans,https://electrolux.com/eod6p77x.jpg,
EIV835,Electrolux,Plaque induction 80cm Infinite,induction_cooktop,799.00,EUR,,78,5.6,52,,,,"Infinite;Bridge;PowerBoost;SenseBoil",built_in,black,2 ans,https://electrolux.com/eiv835.jpg,Hob²Hood
EFV90673OX,Electrolux,Hotte inclinée 90cm Effortless,hood,699.00,EUR,A,89.8,95,35,,395W,49dB,"Débit 800m³/h;Breeze;Hob²Hood;LED QuadroLED",wall_mounted,stainless_steel,2 ans,https://electrolux.com/efv90673ox.jpg,Hob²Hood
EEM69310L,Electrolux,Lave-vaisselle AirDry QuickSelect,dishwasher,699.00,EUR,A+++,59.6,81.8,57,15 couverts,2100W,42dB,"AirDry;QuickSelect;ComfortLift;SatelliteSpray",fully_integrated,stainless_steel,2 ans,https://electrolux.com/eem69310l.jpg,
B58CT68N0,Neff,Four encastrable Slide&Hide pyrolyse,oven,1199.00,EUR,A+,59.4,59.5,54.8,71L,3650W,,"Slide&Hide;Pyrolyse;CircoTherm;14 modes",built_in,stainless_steel,2 ans,https://neff.com/b58ct68n0.jpg,HomeConnect WiFi
B47CR32N0,Neff,Four encastrable CircoTherm,oven,899.00,EUR,A+,59.4,59.5,54.8,71L,3600W,,"CircoTherm;EasyClean;FullSteam;ShakeDesign",built_in,stainless_steel,2 ans,https://neff.com/b47cr32n0.jpg,
T58FD20X0,Neff,Plaque induction 80cm FlexInduction,induction_cooktop,999.00,EUR,,79.2,5.1,52,,,,"FlexInduction;TwistPad Flat;PowerMove;PowerBoost",built_in,black,2 ans,https://neff.com/t58fd20x0.jpg,
D65IHM1S0,Neff,Hotte îlot 90cm,hood,1299.00,EUR,A,90,103.9,60,,700W,44dB,"Débit 840m³/h;HomeConnect;LED;EfficientSilence",island,stainless_steel,2 ans,https://neff.com/d65ihm1s0.jpg,HomeConnect WiFi
S157EAX36E,Neff,Lave-vaisselle Zeolith TimeLight,dishwasher,1099.00,EUR,A+++,59.8,81.5,55,14 couverts,2400W,42dB,"Zeolith;InfoLight;TimeLight;VarioSpeed Plus",fully_integrated,stainless_steel,2 ans,https://neff.com/s157eax36e.jpg,HomeConnect WiFi
